Date,Price,Return
2015-01-08,2780.57,-0.006788459
2015-01-09,2779.37,-0.000431659
2015-01-12,2755.11,-0.008766914
2015-01-13,2768.63,0.004895244
2015-01-14,2753.32,-0.005545157
2015-01-15,2802.46,0.017690147
2015-01-16,2805.27,0.001002188
2015-01-19,2658.12,-0.053880685
2015-01-20,2706.7,0.018111075
2015-01-21,2797.47,0.032985257
2015-01-22,2810.91,0.004792837
2015-01-23,2820.08,0.003256979
2015-01-26,2831.75,0.004129642
2015-01-27,2814.26,-0.006195546
2015-01-28,2788.72,-0.00911664
2015-01-29,2758.68,-0.010830405
2015-01-30,2728.01,-0.011179899
2015-02-02,2688.16,-0.014715461
2015-02-03,2732.53,0.016370975
2015-02-04,2726.22,-0.002311886
2015-02-05,2710.27,-0.005867773
2015-02-06,2675.62,-0.012867132
2015-02-09,2673.77,-0.000691668
2015-02-10,2706.32,0.012100317
2015-02-11,2709.97,0.001347786
2015-02-12,2721.04,0.004076595
2015-02-13,2750.35,0.010714016
2015-02-16,2762.63,0.004454948
2015-02-17,2775.32,0.004582931
2015-02-18,2776.19,0.000313428
2015-02-19,2775.52,-0.000241367
2015-02-20,2776.27,0.000270183
2015-02-23,2776.97,0.000252105
2015-02-24,2779.53,0.000921443
2015-02-25,2765.26,-0.005147186
2015-02-26,2808.52,0.015522991
2015-02-27,2804.23,-0.001528663
2015-03-02,2822.41,0.006462138
2015-03-03,2776.73,-0.016317154
2015-03-04,2781.71,0.00179187
2015-03-05,2768.31,-0.004828821
2015-03-06,2759.75,-0.00309693
2015-03-09,2788.39,0.010324272
2015-03-10,2771.44,-0.006097328
2015-03-11,2760.74,-0.003868281
2015-03-12,2790.78,0.010822367
2015-03-13,2809.16,0.00656438
2015-03-16,2859.5,0.017761278
2015-03-17,2886.33,0.009339015
2015-03-18,2945.65,0.020343707
2015-03-19,2971.79,0.008834959
2015-03-20,2979.42,0.002564186
2015-03-23,3019.85,0.013478511
2015-03-24,3019.78,-2.32E-05
2015-03-25,3005.72,-0.004666841
2015-03-26,3006.33,0.000202926
2015-03-27,3011.84,0.001831122
2015-03-30,3093.04,0.026603238
2015-03-31,3085.6,-0.002408298
2015-04-01,3132.36,0.015040586
2015-04-02,3155.22,0.00727151
2015-04-03,3171.18,0.005045534
2015-04-06,3170.16,-0.000321699
2015-04-07,3211.87,0.013071262
2015-04-08,3289.91,0.024006887
2015-04-09,3299.99,0.003059229
2015-04-10,3356.38,0.016943574
2015-04-13,3446.32,0.026443983
2015-04-14,3421.58,-0.007204562
2015-04-15,3400.5,-0.006179953
2015-04-16,3476.08,0.021982742
2015-04-17,3508.38,0.00924917
2015-04-20,3451.85,-0.016244073
2015-04-21,3532.64,0.023135148
2015-04-22,3600,0.018888379
2015-04-23,3598.47,-0.00042509
2015-04-24,3591.96,-0.001810741
2015-04-27,3650.21,0.016086686
2015-04-28,3615.76,-0.009482632
2015-04-29,3626.82,0.003054163
2015-04-30,3593.01,-0.00936594
2015-05-01,3593.88,0.000242108
2015-05-04,3614.3,0.0056658
2015-05-05,3496.67,-0.033087112
2015-05-06,3455.84,-0.011745533
2015-05-07,3381.62,-0.021710669
2015-05-08,3448.9,0.019700455
2015-05-11,3524.37,0.021646357
2015-05-12,3536.59,0.003461289
2015-05-13,3527.71,-0.002514051
2015-05-14,3528.14,0.000121885
2015-05-15,3513.8,-0.004072747
2015-05-18,3494.76,-0.005433369
2015-05-19,3570.56,0.021457742
2015-05-20,3576.82,0.001751691
2015-05-21,3624.33,0.013195306
2015-05-22,3697.83,0.020076717
2015-05-25,3769.92,0.01930762
2015-05-26,3833.55,0.016737486
2015-05-27,3826.82,-0.001757096
2015-05-28,3638.09,-0.050575352
2015-05-29,3640.69,0.000714405
2015-06-01,3763.92,0.033287743
2015-06-02,3801.8,0.010013671
2015-06-03,3789.27,-0.00330125
2015-06-04,3793.63,0.001149956
2015-06-05,3815.18,0.005664501
2015-06-08,3859,0.011420237
2015-06-09,3820.45,-0.010039866
2015-06-10,3806.44,-0.003673848
2015-06-11,3824.66,0.004775205
2015-06-12,3861.4,0.009560238
2015-06-15,3791.79,-0.018191609
2015-06-16,3683.08,-0.029088844
2015-06-17,3731.08,0.012948377
2015-06-18,3637.37,-0.025436843
2015-06-19,3487.74,-0.042006931
2015-06-22,3502.15,0.004123104
2015-06-23,3578.38,0.021533118
